name,id,date,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,defect9,defect10,defect11,defect12
82906d0c-d864-44bd-ab7c-75da931dfb8b, 0ba61d27-e70e-47ca-a6ce-3221400797f0, 2022-03-29 19:06:57.594400+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
65775289-f663-49c5-a204-d67df12b3f19, 0ba61d27-e70e-47ca-a6ce-3221400797f0, 2022-03-29 19:06:57.963141+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
667f79f9-ba69-401b-ba98-f5f84d2861f2, 0ba61d27-e70e-47ca-a6ce-3221400797f0, 2022-03-29 19:06:58.403333+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
66fbea4a-7488-4199-8870-758e3e5d97e1, a2545b79-3981-4976-8724-fbbca1b3fcb6, 2022-03-29 19:07:00.393249+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
713134eb-5d20-46a5-96a8-1c4981633b39, a2545b79-3981-4976-8724-fbbca1b3fcb6, 2022-03-29 19:07:00.799605+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
e4cc3433-1c40-49a5-ab56-d012ebbc51c6, a2545b79-3981-4976-8724-fbbca1b3fcb6, 2022-03-29 19:07:01.379676+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
f664b73a-a9d4-4d5f-83ed-c187cec2a8dd, 56ff1659-fb23-411f-99ab-142d072ab44f, 2022-03-29 19:07:03.257623+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
25c420f9-4222-4a3a-83de-ba8a1c9195de, 56ff1659-fb23-411f-99ab-142d072ab44f, 2022-03-29 19:07:03.651975+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
27235558-1b6e-41b5-8308-09fb803a5485, 56ff1659-fb23-411f-99ab-142d072ab44f, 2022-03-29 19:07:04.100904+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
ea581dab-2721-48dc-8c10-1e01a1058231, d2c744d8-8e3b-4f1c-8843-d7fb22e8cfc0, 2022-03-29 19:07:05.843713+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
